#Properties of FRB 20220529 bursts with RM measurements outside the ``RM flare'' phase. Each burst was detected using the FAST telescope with an S/N \geq 10. Uncertainties are 1 \sigma.
#MJDs are in barycentric dynamical time (TDB) and extrapolated to infinite frequency.
#S/N is the maximum S/N of the burst across different DM tails during the burst search, and  DM_det is the associated DM. 
#f_low and f_high are the minimum and maximum frequency extent of the bursts, determined by eye.
#DM_stru is the structure-maximizing DM obtained by DM_phase.
#f_L is the percentage of unbiased linear polarization.
##############################################################################################
#MJD,S/N,DM_det (pc cm^-3),f_low (MHz),f_high (MHz),DM_stru (pc cm^-3),RM (rad m^-2),f_L (%)
59820.8583568,22,253.6,1050,1450,252.9 ± 1.1,-50 ± 12,75 ± 4
59820.8594931,28,244.7,1000,1250,244.4 ± 1.0,-129 ± 0,67 ± 2
59820.8604036,18,253.6,1000,1350,250.1 ± 0.9,-29 ± 7,70 ± 3
59820.8604963,63,250.6,1000,1250,246.5 ± 0.0,-19 ± 10,76 ± 1
59820.8611837,15,250.2,1050,1380,249.7 ± 2.7,-76 ± 28,63 ± 5
59820.8617756,83,256.9,1000,1350,257.6 ± 0.8,-33 ± 2,64 ± 1
59820.8618928,69,246.7,1000,1200,246.8 ± 0.4,-49 ± 9,72 ± 1
59820.8619760,25,250.6,1000,1250,250.9 ± 1.0,-87 ± 11,78 ± 3
59820.8627775,28,255.9,1000,1150,251.6 ± 3.4,-23 ± 46,48 ± 2
59820.8628527,28,248.1,1000,1250,247.1 ± 0.8,-85 ± 18,82 ± 6
59820.8629525,37,246.9,1000,1250,246.9 ± 0.3,-66 ± 13,89 ± 2
59820.8630395,12,248.3,1000,1150,246.2 ± 0.6,-57 ± 0,~ 100
59820.8635211,16,253.2,1000,1180,250.4 ± 4.2,14 ± 26,63 ± 4
59820.8641789,58,248.7,1000,1150,246.9 ± 0.1,-15 ± 0,60 ± 2
59822.7735175,44,255.9,1000,1500,244.6 ± 0.0,-5 ± 6,88 ± 2
59822.7738617,12,246.9,1000,1200,247.3 ± 0.0,13 ± 22,70 ± 6
59822.7751068,10,251.4,1000,1300,251.7 ± 0.8,-53 ± 33,79 ± 8
59822.7756431,14,256.1,1000,1500,261.6 ± 0.4,4 ± 36,90 ± 6
59822.7765565,12,250.6,1000,1250,251.1 ± 3.7,-12 ± 27,71 ± 5
59822.7769714,11,248.3,1100,1500,247.5 ± 0.4,-63 ± 37,51 ± 8
59822.7788506,18,256.7,1040,1350,252.8 ± 4.7,-11 ± 13,92 ± 4
59822.7812749,12,252.4,1000,1450,250.9 ± 2.4,-18 ± 19,80 ± 5
59822.7827689,11,248.9,1000,1200,248.8 ± 2.6,-44 ± 76,56 ± 5
59822.7829220,11,247.5,1000,1300,245.3 ± 1.6,-31 ± 0,85 ± 8
59822.7830036,14,252.0,1000,1300,251.3 ± 2.6,-15 ± 26,72 ± 6
59822.7848960,12,250.6,1000,1400,249.8 ± 2.4,11 ± 25,66 ± 6
59822.7851871,10,252.6,1000,1170,252.3 ± 0.5,-4 ± 22,86 ± 7
59822.7871811,11,245.7,1000,1200,248.2 ± 2.4,14 ± 29,54 ± 6
59822.7881336,20,252.6,1100,1500,252.7 ± 0.4,8 ± 29,81 ± 4
59822.7889711,16,248.3,1000,1350,247.9 ± 0.6,-33 ± 41,66 ± 6
59822.7913650,23,245.5,1100,1500,247.5 ± 0.9,-10 ± 41,67 ± 6
59823.8409824,11,255.9,1250,1500,251.2 ± 2.3,-19 ± 17,68 ± 10
59823.8415956,11,248.9,1050,1350,245.6 ± 0.2,37 ± 31,82 ± 9
59823.8435895,13,249.7,1050,1500,250.6 ± 1.2,-3 ± 25,94 ± 8
59823.8445247,12,248.7,1000,1500,248.7 ± 1.1,60 ± 26,70 ± 7
59823.8445691,12,247.5,1000,1140,249.7 ± 1.4,45 ± 0,46 ± 4
59823.8447612,18,255.3,1000,1500,254.4 ± 3.6,-2 ± 10,74 ± 4
59823.8461428,11,255.1,1000,1200,251.7 ± 1.7,50 ± 28,47 ± 5
59823.8489387,29,252.8,1000,1450,253.0 ± 1.9,-9 ± 12,56 ± 3
59823.8496505,51,250.2,1000,1500,250.3 ± 0.7,30 ± 9,97 ± 2
59823.8522502,10,247.3,1000,1250,247.2 ± 0.2,11 ± 22,26 ± 5
59823.8525250,15,247.1,1050,1300,246.1 ± 0.1,-8 ± 29,63 ± 5
59823.8538941,14,253.0,1050,1300,253.0 ± 3.6,-36 ± 22,88 ± 5
59823.8558838,15,254.5,1050,1300,246.7 ± 0.9,-11 ± 0,78 ± 5
59823.8563003,26,253.6,1000,1500,259.1 ± 1.6,-30 ± 12,90 ± 4
59828.7644137,16,249.7,1200,1500,249.6 ± 1.0,13 ± 46,74 ± 6
59828.7665770,11,254.4,1150,1420,244.6 ± 0.5,64 ± 11,68 ± 9
59828.7683012,67,254.5,1000,1500,249.9 ± 0.9,99 ± 3,83 ± 1
59828.7730115,13,254.5,1000,1350,253.6 ± 1.1,18 ± 29,83 ± 8
59829.8057224,17,251.4,1000,1300,251.0 ± 1.4,93 ± 31,46 ± 3
59829.8061481,12,245.5,1050,1400,244.3 ± 1.8,73 ± 30,~ 100
59829.8095898,24,256.1,1000,1450,254.0 ± 4.0,-19 ± 9,82 ± 3
59832.7832619,10,251.0,1000,1200,248.3 ± 3.9,128 ± 47,58 ± 7
59832.7838178,22,248.5,1200,1500,249.1 ± 1.0,108 ± 26,80 ± 4
59832.7860215,37,247.9,1150,1500,248.1 ± 0.4,53 ± 15,91 ± 3
59832.7869932,25,250.8,1100,1500,248.5 ± 0.4,65 ± 13,95 ± 5
59832.7877988,43,250.4,1000,1450,247.9 ± 0.6,80 ± 4,97 ± 2
59832.7908161,10,249.5,1000,1200,245.0 ± 0.2,97 ± 20,76 ± 7
59832.7925132,41,252.4,1000,1500,252.8 ± 2.0,133 ± 7,91 ± 2
59832.7930305,12,251.0,1100,1500,250.9 ± 1.3,71 ± 0,89 ± 9
59832.7944666,16,251.2,1000,1200,250.8 ± 2.8,123 ± 24,80 ± 4
59832.7948777,19,252.6,1050,1400,253.0 ± 2.0,127 ± 13,91 ± 4
59832.7955818,12,247.9,1000,1200,244.5 ± 1.5,99 ± 64,67 ± 5
59832.7975117,26,254.2,1000,1400,253.7 ± 2.7,118 ± 8,87 ± 3
59833.8221558,16,256.3,1000,1500,250.7 ± 0.6,116 ± 12,95 ± 5
59833.8223536,11,248.1,1100,1400,248.9 ± 0.7,51 ± 0,83 ± 9
59833.8231708,38,249.9,1000,1350,249.8 ± 0.5,101 ± 9,90 ± 2
59833.8238612,27,254.2,1010,1400,257.6 ± 1.7,87 ± 8,89 ± 2
59834.8297062,10,249.7,1200,1400,248.3 ± 0.4,89 ± 31,69 ± 7
59834.8312331,10,249.7,1100,1320,248.6 ± 2.6,108 ± 22,69 ± 8
59834.8385998,30,255.3,1000,1350,254.7 ± 1.9,185 ± 0,82 ± 3
59834.8404867,44,250.4,1000,1500,250.7 ± 1.0,110 ± 7,81 ± 2
59834.8406799,10,251.2,1000,1250,250.5 ± 0.0,85 ± 29,84 ± 8
59834.8416098,21,253.8,1100,1400,248.6 ± 0.4,232 ± 26,70 ± 4
59835.7459825,25,246.3,1000,1300,248.5 ± 0.9,60 ± 41,25 ± 2
59835.7483337,38,252.0,1000,1400,250.2 ± 0.1,60 ± 24,45 ± 2
59836.7757350,11,249.9,1200,1500,249.9 ± 0.4,139 ± 29,~ 100
59836.7851477,17,252.0,1050,1250,252.9 ± 1.9,151 ± 24,62 ± 4
59836.7854500,16,248.9,1050,1250,247.3 ± 0.5,94 ± 37,82 ± 5
59837.7232041,36,248.3,1000,1500,245.9 ± 0.8,104 ± 11,90 ± 3
59837.7274655,26,250.2,1000,1200,248.2 ± 0.8,150 ± 31,95 ± 2
59837.7287655,13,249.1,1000,1400,250.9 ± 1.8,85 ± 0,50 ± 8
59837.7297903,10,249.7,1000,1250,251.2 ± 0.8,135 ± 35,77 ± 8
59841.7185067,385,246.7,1000,1500,246.4 ± 0.1,162 ± 1,99 ± 0
59841.7255216,15,248.9,1000,1350,250.7 ± 3.0,99 ± 30,97 ± 7
59842.8143516,20,255.1,1000,1250,256.5 ± 2.7,68 ± 16,90 ± 3
59856.7671164,10,248.7,1000,1250,244.0 ± 2.9,180 ± 22,59 ± 5
59862.7434578,475,246.3,1000,1500,246.8 ± 0.1,196 ± 1,50 ± 0
59862.7489556,25,249.1,1050,1380,247.4 ± 0.9,167 ± 0,43 ± 2
59865.7577195,10,247.5,1000,1300,246.4 ± 1.3,167 ± 0,60 ± 6
59865.7603891,20,252.8,1050,1400,246.4 ± 0.9,134 ± 7,79 ± 4
59871.7175039,11,246.5,1000,1150,250.4 ± 1.7,257 ± 37,52 ± 5
59871.7294770,35,250.2,1000,1300,250.0 ± 2.2,54 ± 8,73 ± 2
59876.6450086,17,246.9,1050,1350,246.7 ± 2.7,230 ± 26,62 ± 4
59876.6518420,14,248.9,1050,1400,252.8 ± 2.8,196 ± 90,84 ± 7
59876.6530351,53,253.2,1050,1400,253.4 ± 0.6,158 ± 5,88 ± 2
59877.7466860,41,246.7,1100,1450,246.8 ± 0.6,112 ± 19,67 ± 2
59877.7494101,10,241.5,1050,1300,241.4 ± 4.1,171 ± 0,61 ± 6
59877.7532056,66,251.8,1000,1300,247.0 ± 0.2,149 ± 6,59 ± 1
59880.6956678,21,243.7,1100,1450,240.4 ± 1.3,294 ± 19,82 ± 3
59880.6968824,11,249.9,1000,1350,250.3 ± 2.2,260 ± 40,68 ± 8
59880.7036354,22,254.5,1100,1500,264.2 ± 1.3,322 ± 10,83 ± 3
59883.6893021,43,249.3,1100,1450,245.8 ± 0.8,150 ± 5,90 ± 2
59883.6904512,15,247.3,1000,1300,245.6 ± 0.3,144 ± 35,86 ± 6
59883.6958000,24,249.5,1100,1450,248.7 ± 0.6,151 ± 16,97 ± 4
59892.7161583,18,252.0,1000,1450,252.6 ± 1.3,132 ± 23,75 ± 5
59900.5795677,33,249.1,1000,1200,251.0 ± 1.1,144 ± 26,35 ± 2
59900.5848922,11,254.5,1310,1480,253.5 ± 1.7,118 ± 30,68 ± 8
59900.5875160,12,248.3,1250,1500,248.5 ± 4.0,171 ± 39,76 ± 6
59900.5890115,14,247.7,1300,1450,255.6 ± 3.1,114 ± 44,96 ± 6
59900.5920824,17,250.4,1120,1500,249.9 ± 2.5,99 ± 29,46 ± 4
59907.6450696,18,252.6,1000,1250,251.4 ± 2.5,49 ± 9,32 ± 3
59907.6465559,10,249.7,1000,1200,247.2 ± 0.7,71 ± 32,96 ± 8
59907.6472002,17,255.9,1000,1400,251.6 ± 1.3,126 ± 12,84 ± 5
59907.6521292,64,253.2,1100,1500,246.4 ± 1.5,85 ± 3,91 ± 1
59907.6527757,11,249.5,1000,1250,243.2 ± 0.1,122 ± 21,~ 100
59907.6529184,12,249.5,1000,1160,254.4 ± 4.9,42 ± 31,63 ± 4
59907.6532843,18,250.4,1010,1310,253.0 ± 1.1,98 ± 28,40 ± 3
59914.6237442,22,249.7,1000,1400,249.7 ± 0.8,84 ± 12,93 ± 5
59914.6258463,23,246.1,1000,1150,244.6 ± 1.4,134 ± 39,94 ± 2
59914.6393398,23,246.7,1000,1250,247.0 ± 1.8,86 ± 13,84 ± 4
59921.5731731,16,250.8,1100,1500,250.5 ± 2.7,33 ± 28,94 ± 6
59951.4988280,13,252.6,1000,1200,251.8 ± 3.5,5 ± 27,82 ± 6
59951.4991505,11,252.0,1300,1460,247.2 ± 1.7,11 ± 33,95 ± 11
59951.4994265,12,255.1,1350,1500,254.6 ± 3.6,69 ± 0,92 ± 6
59951.5005591,11,248.5,1000,1350,248.4 ± 2.5,47 ± 36,80 ± 9
59951.5023892,21,250.6,1000,1150,251.1 ± 2.1,-90 ± 39,81 ± 2
59951.5029227,14,253.0,1200,1500,262.1 ± 1.8,0 ± 47,79 ± 6
59951.5029403,16,254.0,1150,1500,247.5 ± 0.5,15 ± 0,96 ± 7
59951.5052075,21,245.5,1250,1500,245.6 ± 0.7,32 ± 55,87 ± 4
59951.5085855,17,256.1,1200,1500,246.1 ± 0.5,60 ± 36,94 ± 4
59951.5087278,28,252.2,1000,1300,252.4 ± 2.0,7 ± 26,76 ± 3
59951.5087497,16,245.3,1000,1150,243.9 ± 0.5,-20 ± 17,89 ± 4
59951.5096804,20,252.4,1300,1500,255.0 ± 0.8,102 ± 72,89 ± 4
59951.5099893,11,248.7,1000,1150,250.8 ± 2.0,-54 ± 22,95 ± 8
59951.5114422,19,247.5,1000,1300,245.7 ± 0.1,-45 ± 22,86 ± 4
59951.5119878,22,244.9,1000,1150,250.0 ± 1.4,70 ± 39,80 ± 3
59951.5132519,14,255.5,1200,1500,250.4 ± 1.2,19 ± 19,71 ± 7
59961.4669379,16,254.9,1050,1450,249.9 ± 3.0,11 ± 13,88 ± 5
59961.4700458,10,251.2,1200,1450,244.8 ± 1.4,39 ± 60,90 ± 8
59961.4704149,18,248.3,1200,1500,248.6 ± 1.0,8 ± 40,84 ± 5
59961.4709321,13,248.5,1200,1500,248.8 ± 2.7,78 ± 60,90 ± 9
59961.4738216,34,249.7,1000,1400,247.6 ± 1.4,8 ± 11,~ 100
59961.4783227,10,246.9,1000,1150,246.8 ± 0.2,25 ± 40,88 ± 8
59961.4817084,25,248.9,1300,1500,249.3 ± 1.1,17 ± 0,97 ± 6
59978.3030067,21,245.7,1000,1200,240.7 ± 0.8,-3 ± 27,83 ± 3
59978.3034944,12,247.7,1000,1250,246.0 ± 0.6,10 ± 52,82 ± 6
59978.3042779,11,246.7,1000,1200,246.7 ± 0.4,-33 ± 39,70 ± 6
59978.3047972,26,247.7,1000,1350,247.8 ± 0.2,-5 ± 24,77 ± 4
59978.3049643,33,252.6,1000,1350,248.1 ± 0.8,46 ± 10,96 ± 3
59978.3065977,17,251.4,1000,1350,252.9 ± 0.2,35 ± 20,77 ± 10
59978.3071096,17,250.8,1250,1500,244.3 ± 0.8,60 ± 37,86 ± 5
59978.3073868,10,251.0,1200,1500,249.7 ± 0.7,9 ± 0,87 ± 12
59978.3087376,10,248.5,1050,1450,248.3 ± 0.2,24 ± 43,74 ± 9
59978.3103988,15,257.2,1000,1250,247.6 ± 1.7,-4 ± 79,64 ± 3
59978.3116811,10,248.3,1000,1400,249.3 ± 0.6,13 ± 0,50 ± 6
59978.3128511,18,248.5,1000,1150,253.2 ± 1.3,-3 ± 32,82 ± 5
59978.3129403,17,246.5,1250,1450,246.4 ± 0.7,-9 ± 70,81 ± 4
59989.3544494,13,249.7,1200,1500,249.2 ± 0.1,44 ± 34,~ 100
59989.3544624,24,248.1,1000,1250,247.4 ± 0.1,72 ± 21,86 ± 4
59989.3544776,12,250.6,1000,1250,250.4 ± 3.3,170 ± 32,67 ± 6
59989.3547346,80,252.8,1000,1500,245.6 ± 0.4,134 ± 6,78 ± 2
59989.3547502,98,247.9,1050,1500,246.0 ± 0.2,55 ± 5,92 ± 1
59989.3547691,12,244.9,1150,1400,246.9 ± 0.6,101 ± 93,~ 100
59989.3551098,21,248.3,1250,1500,249.1 ± 0.3,73 ± 26,90 ± 5
59989.3551235,26,247.1,1100,1380,247.4 ± 0.5,136 ± 24,~ 100
59989.3559662,23,251.6,1000,1380,246.0 ± 0.3,85 ± 33,89 ± 4
59989.3560343,29,251.6,1200,1500,251.2 ± 1.1,126 ± 14,96 ± 4
59989.3561971,17,251.0,1000,1200,246.5 ± 0.3,100 ± 44,80 ± 4
59989.3561994,19,250.4,1250,1500,246.6 ± 1.4,98 ± 31,96 ± 6
59989.3568230,14,247.5,1000,1250,248.1 ± 1.0,160 ± 30,79 ± 6
59989.3571859,33,249.1,1000,1380,247.8 ± 0.6,116 ± 13,93 ± 4
59989.3573588,13,254.7,1250,1500,255.6 ± 2.9,146 ± 37,~ 100
59989.3575986,49,246.9,1000,1350,247.0 ± 0.3,125 ± 12,92 ± 2
59989.3576267,28,245.7,1000,1150,247.5 ± 0.2,69 ± 0,75 ± 4
59989.3578639,20,248.5,1050,1380,248.5 ± 0.6,133 ± 24,83 ± 6
59989.3596244,29,247.9,1000,1380,248.3 ± 0.2,73 ± 0,96 ± 4
59989.3611728,50,245.9,1000,1250,245.8 ± 0.3,80 ± 11,93 ± 2
59989.3612049,23,252.6,1050,1500,252.5 ± 1.7,152 ± 17,91 ± 6
59989.3613592,62,247.7,1000,1500,246.2 ± 0.5,126 ± 38,93 ± 4
59989.3617332,57,251.6,1000,1500,247.8 ± 0.5,136 ± 6,98 ± 3
59989.3618995,13,249.7,1180,1450,249.8 ± 0.5,62 ± 31,87 ± 8
59989.3622708,40,247.1,1250,1500,246.9 ± 0.9,71 ± 14,99 ± 3
59989.3623292,48,250.8,1000,1300,245.9 ± 0.7,122 ± 9,95 ± 2
59989.3627513,20,249.3,1000,1300,246.2 ± 0.9,132 ± 25,86 ± 5
59989.3634831,13,249.3,1000,1250,246.1 ± 0.4,92 ± 34,88 ± 7
59989.3639450,25,249.5,1000,1380,248.3 ± 0.6,76 ± 13,83 ± 4
59989.3639769,31,247.3,1000,1380,247.3 ± 0.4,77 ± 36,~ 100
59989.3654658,21,247.5,1120,1380,247.5 ± 0.4,117 ± 25,~ 100
59989.3655099,44,252.4,1100,1500,249.2 ± 3.2,138 ± 10,91 ± 2
59989.3655523,52,252.4,1000,1500,252.3 ± 0.3,68 ± 7,92 ± 3
59989.3658004,15,246.7,1000,1200,250.0 ± 0.2,74 ± 31,80 ± 6
59989.3659207,57,250.4,1000,1500,247.7 ± 0.4,119 ± 4,97 ± 2
59989.3659829,21,248.3,1000,1200,248.5 ± 0.5,48 ± 25,91 ± 4
59989.3664048,26,245.3,1000,1250,246.4 ± 0.2,105 ± 8,90 ± 3
59989.3664952,20,249.3,1000,1400,245.9 ± 0.9,151 ± 17,96 ± 6
59989.3665395,744,247.5,1000,1500,246.2 ± 0.1,154 ± 0,72 ± 0
59989.3667717,75,253.4,1000,1500,245.5 ± 1.0,125 ± 3,93 ± 3
59989.3670803,12,255.7,1000,1120,246.2 ± 0.3,102 ± 37,86 ± 5
60007.2135375,17,243.9,1120,1500,248.3 ± 1.4,252 ± 41,59 ± 4
60007.2137400,14,249.7,1000,1500,249.7 ± 0.2,141 ± 28,84 ± 8
60007.2138302,13,241.5,1000,1300,245.7 ± 0.0,167 ± 39,~ 100
60007.2149672,13,247.3,1000,1250,249.9 ± 0.9,61 ± 28,92 ± 6
60007.2200259,15,247.5,1120,1500,253.6 ± 0.8,117 ± 0,60 ± 5
60007.2201781,12,252.6,1300,1500,243.7 ± 1.2,145 ± 44,82 ± 5
60007.2210567,12,246.7,1000,1250,246.5 ± 0.1,170 ± 53,77 ± 7
60007.2213166,12,248.5,1250,1500,248.3 ± 1.1,149 ± 67,~ 100
60007.2249317,83,245.7,1000,1250,246.0 ± 0.1,147 ± 5,84 ± 5
60007.2251020,14,249.5,1120,1500,249.4 ± 1.1,190 ± 21,91 ± 8
60007.2251404,10,243.7,1000,1200,250.2 ± 0.9,160 ± 26,~ 100
60007.2255003,14,251.6,1300,1500,249.7 ± 0.1,96 ± 53,90 ± 6
60007.2260106,13,247.3,1250,1500,251.9 ± 1.6,154 ± 44,82 ± 7
60017.2401486,18,251.2,1200,1500,250.5 ± 2.6,104 ± 30,91 ± 5
60017.2402078,29,249.3,1000,1500,250.8 ± 1.5,26 ± 15,88 ± 4
60017.2402511,15,246.1,1000,1350,246.0 ± 0.5,-23 ± 32,72 ± 8
60017.2406389,16,255.7,1150,1500,263.3 ± 2.2,117 ± 18,67 ± 10
60017.2411494,12,247.1,1000,1380,245.4 ± 0.4,-19 ± 0,74 ± 5
60017.2429101,11,250.4,1000,1380,248.0 ± 0.7,150 ± 22,43 ± 7
60017.2432600,13,249.3,1250,1500,244.4 ± 0.1,-64 ± 48,91 ± 7
60017.2441100,18,246.3,1200,1500,246.5 ± 0.4,77 ± 0,69 ± 5
60017.2442643,19,248.1,1000,1200,248.0 ± 1.2,109 ± 31,75 ± 5
60017.2443089,15,248.9,1000,1400,249.3 ± 1.1,14 ± 26,72 ± 7
60017.2446386,14,251.4,1000,1380,247.9 ± 0.4,4 ± 20,64 ± 6
60017.2446654,14,250.6,1120,1500,250.3 ± 1.6,53 ± 24,81 ± 10
60017.2453875,23,249.1,1090,1350,243.2 ± 3.7,85 ± 11,78 ± 3
60017.2453928,14,253.6,1120,1500,254.0 ± 1.9,36 ± 36,76 ± 7
60017.2454109,14,253.8,1000,1250,253.2 ± 3.3,70 ± 39,42 ± 4
60017.2455575,21,250.2,1050,1450,251.1 ± 1.5,127 ± 17,72 ± 4
60017.2461163,27,252.4,1150,1500,250.8 ± 0.4,0 ± 62,79 ± 3
60017.2461174,11,249.9,1000,1380,251.1 ± 0.2,32 ± 65,40 ± 6
60017.2461604,46,249.9,1000,1500,249.3 ± 0.6,6 ± 10,78 ± 3
60017.2462030,34,245.7,1000,1500,246.2 ± 0.3,15 ± 17,84 ± 4
60017.2477459,10,246.9,1000,1120,245.5 ± 4.9,7 ± 47,48 ± 5
60017.2479381,287,245.1,1000,1300,246.5 ± 0.2,69 ± 0,93 ± 1
60017.2487649,11,250.8,1000,1350,249.9 ± 1.0,-13 ± 24,64 ± 5
60017.2487805,11,250.8,1200,1500,252.8 ± 1.4,17 ± 47,90 ± 8
60017.2491530,11,248.1,1100,1380,245.8 ± 0.2,28 ± 32,76 ± 9
60017.2499407,14,249.3,1120,1500,248.4 ± 3.0,123 ± 27,62 ± 6
60017.2501664,13,247.1,1000,1200,247.3 ± 1.2,139 ± 29,82 ± 5
60017.2502671,30,247.5,1120,1500,244.5 ± 0.2,102 ± 9,90 ± 3
60017.2506444,19,246.3,1150,1500,245.7 ± 0.5,33 ± 28,91 ± 5
60017.2508035,12,250.8,1000,1500,248.4 ± 1.2,70 ± 17,85 ± 8
60017.2519493,21,249.1,1120,1500,252.3 ± 0.8,150 ± 23,88 ± 5
60022.1619754,23,251.0,1000,1300,247.3 ± 0.8,148 ± 28,83 ± 4
60022.1630027,12,257.2,1000,1140,251.2 ± 0.1,134 ± 32,71 ± 5
60022.1643009,17,255.5,1000,1300,246.9 ± 0.7,106 ± 17,90 ± 5
60022.1645443,13,244.5,1000,1200,247.2 ± 0.1,58 ± 34,93 ± 6
60022.1657488,11,251.8,1000,1250,252.7 ± 1.1,56 ± 19,87 ± 8
60022.1666845,14,256.9,1250,1500,251.3 ± 2.2,104 ± 50,94 ± 6
60022.1669915,13,237.2,1000,1500,247.4 ± 2.0,73 ± 32,65 ± 4
60022.1674273,18,255.5,1000,1380,245.0 ± 0.3,30 ± 11,81 ± 5
60022.1679456,13,242.9,1250,1450,241.6 ± 0.1,57 ± 0,73 ± 7
60022.1679730,35,254.9,1000,1250,245.4 ± 0.2,48 ± 5,91 ± 2
60022.1698970,11,248.9,1000,1380,249.5 ± 0.1,147 ± 17,46 ± 6
60022.1701294,21,255.1,1100,1450,260.2 ± 3.0,139 ± 10,92 ± 5
60022.1701695,20,249.7,1000,1450,247.2 ± 0.6,128 ± 12,~ 100
60022.1707123,38,256.5,1150,1500,250.6 ± 4.0,105 ± 6,95 ± 2
60022.1709843,17,254.9,1000,1500,254.2 ± 1.9,56 ± 20,97 ± 8
60022.1714705,43,254.9,1000,1450,248.3 ± 1.6,102 ± 6,94 ± 2
60022.1723372,11,246.7,1000,1200,246.8 ± 1.0,37 ± 0,90 ± 6
60022.1729685,11,254.0,1000,1380,250.0 ± 2.0,132 ± 25,75 ± 8
60022.1734160,18,256.3,1000,1500,254.6 ± 2.4,113 ± 0,82 ± 6
60022.1743703,10,252.6,1000,1500,251.3 ± 0.5,115 ± 28,69 ± 8
60022.1771219,11,245.9,1000,1200,246.4 ± 0.5,121 ± 52,95 ± 6
60022.1776491,10,256.9,1120,1400,247.4 ± 1.1,27 ± 39,45 ± 7
60022.1777681,16,249.7,1000,1150,249.8 ± 1.8,192 ± 32,70 ± 4
60022.1783045,14,254.2,1150,1500,251.4 ± 0.4,38 ± 46,59 ± 6
60022.1783210,13,254.2,1000,1400,251.4 ± 1.2,111 ± 21,70 ± 7
60022.1786119,12,252.2,1250,1500,252.2 ± 2.1,119 ± 35,79 ± 7
60022.1788924,24,251.8,1000,1300,252.4 ± 1.6,122 ± 13,91 ± 4
60022.1796740,23,241.7,1000,1500,254.9 ± 3.8,114 ± 7,80 ± 4
60022.1797223,11,247.7,1000,1250,250.7 ± 4.8,17 ± 9,70 ± 6
60022.1798978,18,244.9,1000,1120,243.3 ± 1.4,1 ± 29,76 ± 3
60022.1810374,15,243.9,1000,1200,243.3 ± 0.7,206 ± 21,86 ± 5
60022.1811238,13,253.0,1000,1400,252.1 ± 1.1,35 ± 34,68 ± 6
60022.1825617,10,254.0,1090,1380,246.3 ± 0.7,32 ± 39,99 ± 10
60022.1826887,11,251.2,1000,1450,253.0 ± 0.3,38 ± 29,70 ± 8
60022.1841563,16,253.8,1100,1500,252.1 ± 1.4,112 ± 32,82 ± 6
60022.1852758,20,255.3,1000,1380,256.7 ± 0.3,72 ± 29,73 ± 4
60022.1860159,17,255.9,1100,1500,252.1 ± 1.6,119 ± 12,61 ± 10
60022.1868912,10,248.1,1250,1500,246.4 ± 0.7,135 ± 47,99 ± 11
60022.1878542,21,250.4,1000,1300,250.5 ± 2.2,96 ± 22,75 ± 4
60022.1890118,37,253.0,1000,1500,253.0 ± 0.7,129 ± 6,75 ± 8
60022.1891764,41,251.0,1000,1380,245.8 ± 0.6,37 ± 5,98 ± 2
60022.1904398,30,250.8,1100,1500,246.2 ± 0.5,89 ± 5,96 ± 2
60022.1906809,22,251.2,1000,1350,253.8 ± 2.3,123 ± 11,65 ± 3
60022.1908502,37,252.4,1000,1500,253.0 ± 1.9,94 ± 6,87 ± 3
60022.1909827,10,255.3,1110,1350,250.3 ± 0.9,118 ± 20,78 ± 10
60022.1912902,12,249.5,1120,1450,248.8 ± 0.4,139 ± 36,~ 100
60022.1912910,11,253.2,1000,1400,247.9 ± 0.5,130 ± 24,79 ± 10
60022.1923199,27,249.9,1050,1350,249.3 ± 1.1,112 ± 10,97 ± 4
60022.1947611,27,248.3,1000,1200,246.9 ± 0.1,46 ± 23,96 ± 3
60022.1954513,18,251.4,1000,1500,251.5 ± 1.3,103 ± 18,90 ± 6
60022.1954529,38,248.3,1000,1500,248.4 ± 0.5,37 ± 3,95 ± 3
60022.1955841,11,251.8,1270,1500,260.3 ± 2.3,110 ± 34,~ 100
60022.1967233,23,256.1,1050,1500,247.9 ± 0.7,110 ± 11,~ 100
60022.1975908,20,252.8,1250,1500,253.3 ± 2.3,128 ± 32,~ 100
60022.1978177,11,254.0,1120,1500,253.6 ± 0.6,110 ± 36,96 ± 9
60022.1985498,11,257.2,1000,1500,257.3 ± 0.2,102 ± 21,84 ± 8
60022.1996538,14,251.0,1000,1250,252.9 ± 0.0,22 ± 50,80 ± 5
60022.1999722,17,251.8,1000,1450,251.2 ± 0.1,84 ± 20,82 ± 7
60022.2001081,14,250.8,1000,1250,248.8 ± 1.3,161 ± 40,80 ± 6
60022.2005990,15,248.1,1100,1450,249.2 ± 0.0,90 ± 24,78 ± 5
60022.2006001,18,253.8,1000,1500,246.5 ± 0.7,99 ± 5,92 ± 5
60022.2006017,67,253.8,1000,1500,250.2 ± 1.7,101 ± 2,80 ± 8
60030.2353954,11,247.3,1000,1380,251.5 ± 4.4,17 ± 0,56 ± 7
60030.2361970,35,250.6,1000,1380,249.0 ± 0.2,118 ± 9,87 ± 3
60030.2368328,12,256.5,1200,1440,253.9 ± 4.1,37 ± 65,88 ± 8
60030.2392527,11,254.2,1050,1450,255.3 ± 1.0,102 ± 20,64 ± 8
60030.2417551,11,246.3,1350,1500,252.8 ± 1.1,-3 ± 36,84 ± 6
